CustomerID,FullName,Gender,Age,City,State,Membership,JoinDate,PreferredCategory,PreferredFabric,PreferredPriceRange,LoyaltyPoints,CustomerTenureDays
C00001,Keerthana Krishnan,Female,26,Coimbatore,Tamil Nadu,Silver,2023-08-06,Women,Handloom,Premium,2902,1079
C00002,Keerthana Kumar,Female,35,Salem,Tamil Nadu,Bronze,2025-08-25,Women,Silk,Luxury,792,329
C00003,Kavya Shankar,Female,29,Madurai,Tamil Nadu,Gold,2023-03-31,Women,Silk,Premium,6837,1207
C00004,Rahul Kumar,Male,25,Villupuram,Tamil Nadu,Gold,2023-02-28,Men,Polyester,Standard,6302,1238
C00005,Saravanan Vel,Male,27,Hosur,Tamil Nadu,Bronze,2025-12-18,Men,Handloom,Budget,181,214
C00006,Lakshmi Raman,Female,65,Erode,Tamil Nadu,Gold,2023-05-15,Accessories,Handloom,Premium,5759,1162
C00007,Revathi Nathan,Female,23,Vellore,Tamil Nadu,Gold,2025-06-06,Women,Polyester,Standard,4826,409
C00008,Manoj Vel,Male,53,Madurai,Tamil Nadu,Platinum,2023-11-10,Men,Silk,Standard,12682,983
C00009,Harini Devi,Female,38,Coimbatore,Tamil Nadu,Silver,2024-11-03,Home & Lifestyle,Silk,Budget,2387,624
C00010,Meena Babu,Female,38,Hosur,Tamil Nadu,Gold,2024-06-08,Women,Silk,Budget,3849,772
C00011,Revathi Raj,Female,54,Kanchipuram,Tamil Nadu,Bronze,2023-09-26,Women,Polyester,Premium,109,1028
C00012,Karthik Iyer,Male,44,Salem,Tamil Nadu,Bronze,2025-09-01,Men,Silk,Standard,238,322
C00013,Suresh Iyer,Male,54,Trichy,Tamil Nadu,Silver,2025-02-16,Men,Silk,Standard,2501,519
C00014,Hari Raman,Male,48,Hosur,Tamil Nadu,Silver,2023-01-14,Men,Silk,Budget,1169,1283
C00015,Ramesh Vel,Male,39,Kanchipuram,Tamil Nadu,Bronze,2024-11-09,Accessories,Cotton,Standard,272,618
C00016,Meena Vel,Female,26,Kanchipuram,Tamil Nadu,Bronze,2024-05-30,Women,Silk,Standard,137,781
C00017,Hari Nathan,Male,62,Coimbatore,Tamil Nadu,Bronze,2025-08-20,Men,Cotton,Standard,326,334
C00018,Aishwarya Devi,Female,52,Villupuram,Tamil Nadu,Bronze,2025-12-31,Women,Silk,Budget,370,201
C00019,Anitha Reddy,Female,33,Kallakurichi,Tamil Nadu,Gold,2024-10-10,Women,Handloom,Standard,6802,648
C00020,Vijay Kumar,Male,44,Erode,Tamil Nadu,Bronze,2025-11-26,Men,Silk,Premium,551,236
C00021,Lakshmi Prasad,Female,36,Tiruppur,Tamil Nadu,Silver,2023-12-08,Women,Cotton,Budget,1890,955
C00022,Karthik Babu,Male,37,Hosur,Tamil Nadu,Bronze,2023-09-08,Men,Handloom,Luxury,484,1046
C00023,Arun Prasad,Male,44,Hosur,Tamil Nadu,Bronze,2024-01-26,Home & Lifestyle,Polyester,Standard,62,906
C00024,Kavya Nathan,Female,34,Thanjavur,Tamil Nadu,Silver,2025-09-21,Women,Cotton,Budget,1772,302
C00025,Ramesh Iyer,Male,43,Kanchipuram,Tamil Nadu,Bronze,2023-12-10,Home & Lifestyle,Polyester,Budget,754,953
C00026,Divya Prasad,Female,28,Vellore,Tamil Nadu,Bronze,2024-12-15,Women,Handloom,Budget,478,582
C00027,Pavithra Krishnan,Female,59,Villupuram,Tamil Nadu,Bronze,2023-12-01,Women,Handloom,Budget,525,962
C00028,Lakshmi Krishnan,Female,34,Tiruppur,Tamil Nadu,Gold,2023-08-14,Women,Linen,Premium,4974,1071
C00029,Kishore Reddy,Male,49,Kanchipuram,Tamil Nadu,Bronze,2024-05-19,Men,Silk,Luxury,873,792
C00030,Arun Mohan,Male,25,Trichy,Tamil Nadu,Bronze,2024-03-01,Men,Handloom,Budget,708,871
C00031,Lakshmi Prasad,Female,65,Kallakurichi,Tamil Nadu,Bronze,2023-02-12,Accessories,Linen,Standard,153,1254
C00032,Harini Raj,Female,21,Karur,Tamil Nadu,Bronze,2023-12-07,Women,Handloom,Premium,976,956
C00033,Kavya Raj,Female,58,Hosur,Tamil Nadu,Silver,2024-01-12,Women,Linen,Budget,1649,920
C00034,Ajith Babu,Male,47,Thanjavur,Tamil Nadu,Silver,2023-08-24,Men,Cotton,Premium,1871,1061
C00035,Kavya Raman,Female,23,Karur,Tamil Nadu,Silver,2024-12-07,Accessories,Silk,Budget,1098,590
C00036,Saravanan Raj,Male,56,Salem,Tamil Nadu,Silver,2023-07-07,Home & Lifestyle,Cotton,Standard,1692,1109
C00037,Ramesh Mohan,Male,64,Erode,Tamil Nadu,Bronze,2025-09-03,Accessories,Linen,Budget,92,320
C00038,Kishore Nathan,Male,42,Kanchipuram,Tamil Nadu,Silver,2024-04-29,Men,Cotton,Budget,2379,812
C00039,Hari Babu,Male,53,Kallakurichi,Tamil Nadu,Silver,2024-04-04,Men,Silk,Premium,1232,837
C00040,Pavithra Reddy,Female,45,Tirunelveli,Tamil Nadu,Bronze,2025-12-10,Women,Handloom,Standard,811,222
C00041,Divya Selvi,Female,59,Coimbatore,Tamil Nadu,Gold,2024-02-29,Women,Linen,Budget,4538,872
C00042,Gokul Reddy,Male,21,Kanchipuram,Tamil Nadu,Platinum,2023-08-15,Men,Handloom,Standard,9276,1070
C00043,Arun Selvi,Male,24,Coimbatore,Tamil Nadu,Bronze,2025-04-04,Home & Lifestyle,Handloom,Standard,748,472
C00044,Harini Selvi,Female,64,Tiruppur,Tamil Nadu,Silver,2024-04-13,Women,Silk,Standard,1660,828
C00045,Nithya Prasad,Female,44,Hosur,Tamil Nadu,Bronze,2025-07-17,Women,Polyester,Standard,257,368
C00046,Ramesh Raman,Male,51,Salem,Tamil Nadu,Bronze,2023-07-03,Men,Silk,Budget,517,1113
C00047,Kishore Murugan,Male,24,Tirunelveli,Tamil Nadu,Silver,2023-08-03,Men,Handloom,Standard,2148,1082
