SaleID,InvoiceID,CustomerID,ProductID,SaleDate,Quantity,MRP,DiscountPercent,FinalPrice,Festival,Season,DayOfWeek,SaleMonth,SaleYear,SKU,ProductName,Category,SubCategory,Brand,Color,Size,Fabric,SeasonalDemandTag,ProductGender,Price,CostPrice,SupplierID,ProductStatus,ImageURL,ProfitMargin,FullName,CustomerGender,Age,City,State,Membership,JoinDate,PreferredCategory,PreferredFabric,PreferredPriceRange,LoyaltyPoints,CustomerTenureDays
S000001,INV100001,C00632,P0461,2024-02-12,2,1500,0,3000.0,Regular,Winter,Monday,2,2024,PRI-BABY-0461,Prisma Baby Dresses Black 1-5 Years,Kids,Baby Dresses,Prisma,Black,1-5 Years,Cotton,All Season,Kids,1060,759,SUP011,Active,images/products/P0461.jpg,28.4,Sowmya Raj,Female,30,Kanchipuram,Tamil Nadu,Bronze,2025-03-09,Home & Lifestyle,Linen,Premium,225,498
S000002,INV100001,C00632,P0478,2024-02-12,3,900,0,2700.0,Regular,Winter,Monday,2,2024,WES-BABY-0478,Westside Baby Dresses RCB Red 3-6 Months,Kids,Baby Dresses,Westside,RCB Red,3-6 Months,Cotton,All Season,Kids,390,305,SUP003,Active,images/products/P0478.jpg,21.79,Sowmya Raj,Female,30,Kanchipuram,Tamil Nadu,Bronze,2025-03-09,Home & Lifestyle,Linen,Premium,225,498
S000003,INV100001,C00632,P0408,2024-02-12,3,3500,0,10500.0,Regular,Winter,Monday,2,2024,BIB-KURT-0408,Biba Kurtas CSK Yellow XXL,Women,Kurtas,Biba,CSK Yellow,XXL,Silk,"Diwali, Temple Festival",Women,1310,788,SUP008,Active,images/products/P0408.jpg,39.85,Sowmya Raj,Female,30,Kanchipuram,Tamil Nadu,Bronze,2025-03-09,Home & Lifestyle,Linen,Premium,225,498
S000004,INV100002,C00725,P0499,2024-04-15,1,700,0,700.0,Summer,Summer,Monday,4,2024,WES-BABY-0499,Westside Baby Dresses Maroon 6-12 Years,Kids,Baby Dresses,Westside,Maroon,6-12 Years,Cotton,All Season,Kids,380,214,SUP024,Active,images/products/P0499.jpg,43.68,Deepika Krishnan,Female,51,Tirunelveli,Tamil Nadu,Gold,2023-07-13,Women,Handloom,Standard,5945,1103
S000005,INV100002,C00725,P0322,2024-04-15,2,150,0,300.0,Summer,Summer,Monday,4,2024,PRI-GIFT-0322,Prisma Gift Boxes Cream S,Kids,Gift Boxes,Prisma,Cream,S,Cotton,All Season,Kids,1830,1157,SUP022,Active,images/products/P0322.jpg,36.78,Deepika Krishnan,Female,51,Tirunelveli,Tamil Nadu,Gold,2023-07-13,Women,Handloom,Standard,5945,1103
S000006,INV100002,C00725,P0144,2024-04-15,1,900,0,900.0,Summer,Summer,Monday,4,2024,NET-SOCK-0144,Netplay Socks Orange XS,Accessories,Socks,Netplay,Orange,XS,Cotton,"School Season, Winter",Unisex,110,60,SUP019,Active,images/products/P0144.jpg,45.45,Deepika Krishnan,Female,51,Tirunelveli,Tamil Nadu,Gold,2023-07-13,Women,Handloom,Standard,5945,1103
S000007,INV100002,C00725,P0474,2024-04-15,2,900,10,1620.0,Summer,Summer,Monday,4,2024,PRI-RAIN-0474,Prisma Raincoats Purple XL,Accessories,Raincoats,Prisma,Purple,XL,Polyester,Monsoon,Unisex,890,535,SUP024,Active,images/products/P0474.jpg,39.89,Deepika Krishnan,Female,51,Tirunelveli,Tamil Nadu,Gold,2023-07-13,Women,Handloom,Standard,5945,1103
S000008,INV100003,C01643,P0137,2025-02-25,1,1200,10,1080.0,Regular,Winter,Tuesday,2,2025,WES-BABY-0137,Westside Baby Dresses Purple 3-6 Months,Kids,Baby Dresses,Westside,Purple,3-6 Months,Cotton,All Season,Kids,1300,851,SUP012,Active,images/products/P0137.jpg,34.54,Ajith Mohan,Male,27,Villupuram,Tamil Nadu,Silver,2023-12-18,Accessories,Linen,Premium,1769,945
S000009,INV100003,C01643,P0082,2025-02-25,1,700,5,665.0,Regular,Winter,Tuesday,2,2025,UAT-LUNG-0082,Uathayam Lungi Pink 9 Yards,Men,Lungi,Uathayam,Pink,9 Yards,Cotton,"Summer, Aadi Sale",Men,780,447,SUP007,Active,images/products/P0082.jpg,42.69,Ajith Mohan,Male,27,Villupuram,Tamil Nadu,Silver,2023-12-18,Accessories,Linen,Premium,1769,945
S000010,INV100004,C00456,P0419,2025-04-26,2,150,5,285.0,Summer,Summer,Saturday,4,2025,PRI-SCHO-0419,Prisma School Uniforms Cream XS,Kids,School Uniforms,Prisma,Cream,XS,Polyester Blend,"School Season, Monsoon",Kids,450,255,SUP019,Active,images/products/P0419.jpg,43.33,Kishore Murugan,Male,46,Vellore,Tamil Nadu,Silver,2024-07-21,Men,Linen,Standard,2557,729
S000011,INV100004,C00456,P0471,2025-04-26,1,500,5,475.0,Summer,Summer,Saturday,4,2025,BIB-FROC-0471,Biba Frocks Blue L,Women,Frocks,Biba,Blue,L,Cotton,"Christmas, New Year",Women,1700,970,SUP021,Active,images/products/P0471.jpg,42.94,Kishore Murugan,Male,46,Vellore,Tamil Nadu,Silver,2024-07-21,Men,Linen,Standard,2557,729
S000012,INV100005,C00049,P0205,2024-08-16,1,400,5,380.0,Independence Day,Monsoon,Friday,8,2024,PRI-GIFT-0205,Prisma Gift Boxes RCB Red XS,Kids,Gift Boxes,Prisma,RCB Red,XS,Cotton,All Season,Kids,2360,1775,SUP005,Active,images/products/P0205.jpg,24.79,Nithya Prasad,Female,21,Salem,Tamil Nadu,Silver,2025-04-29,Women,Polyester,Budget,1954,447
S000013,INV100005,C00049,P0169,2024-08-16,2,400,5,760.0,Independence Day,Monsoon,Friday,8,2024,WES-FROC-0169,Westside Frocks Pink XS,Women,Frocks,Westside,Pink,XS,Polyester Blend,"Christmas, New Year",Women,580,380,SUP019,Active,images/products/P0169.jpg,34.48,Nithya Prasad,Female,21,Salem,Tamil Nadu,Silver,2025-04-29,Women,Polyester,Budget,1954,447
S000014,INV100006,C01044,P0348,2025-10-18,1,1200,0,1200.0,Navratri,Winter,Saturday,10,2025,UAT-LUNG-0348,Uathayam Lungi MI Blue Standard,Men,Lungi,Uathayam,MI Blue,Standard,Cotton,"Summer, Aadi Sale",Men,710,453,SUP023,Active,images/products/P0348.jpg,36.2,Anitha Mohan,Female,25,Kanchipuram,Tamil Nadu,Silver,2023-11-26,Kids,Linen,Budget,1973,967
S000015,INV100006,C01044,P0414,2025-10-18,1,150,5,142.5,Navratri,Winter,Saturday,10,2025,PRI-UMBR-0414,Prisma Umbrellas Cream S,Accessories,Umbrellas,Prisma,Cream,S,Polyester,Monsoon,Unisex,680,375,SUP014,Active,images/products/P0414.jpg,44.85,Anitha Mohan,Female,25,Kanchipuram,Tamil Nadu,Silver,2023-11-26,Kids,Linen,Budget,1973,967
S000016,INV100006,C01044,P0275,2025-10-18,2,400,10,720.0,Navratri,Winter,Saturday,10,2025,PRI-TOWE-0275,Prisma Towels Black XS,Accessories,Towels,Prisma,Black,XS,Cotton,All Season,Unisex,170,98,SUP025,Active,images/products/P0275.jpg,42.35,Anitha Mohan,Female,25,Kanchipuram,Tamil Nadu,Silver,2023-11-26,Kids,Linen,Budget,1973,967
S000017,INV100006,C01044,P0170,2025-10-18,1,900,0,900.0,Navratri,Winter,Saturday,10,2025,NET-SHIR-0170,Netplay Shirts RCB Red XS,Men,Shirts,Netplay,RCB Red,XS,Polyester Blend,"Summer, Independence Day, Republic Day",Men,630,384,SUP020,Active,images/products/P0170.jpg,39.05,Anitha Mohan,Female,25,Kanchipuram,Tamil Nadu,Silver,2023-11-26,Kids,Linen,Budget,1973,967
S000018,INV100007,C00890,P0374,2025-09-02,3,150,5,427.5,Regular,Monsoon,Tuesday,9,2025,UAT-SCHO-0374,Uathayam School Uniforms MI Blue L,Kids,School Uniforms,Uathayam,MI Blue,L,Cotton,"School Season, Monsoon",Kids,840,584,SUP024,Active,images/products/P0374.jpg,30.48,Saravanan Raj,Male,41,Trichy,Tamil Nadu,Silver,2024-06-08,Men,Linen,Budget,2600,772
S000019,INV100007,C00890,P0403,2025-09-02,1,700,10,630.0,Regular,Monsoon,Tuesday,9,2025,FAB-CURT-0403,Fabindia Curtains Orange King,Home & Lifestyle,Curtains,Fabindia,Orange,King,Cotton,All Season,Unisex,2970,1709,SUP003,Active,images/products/P0403.jpg,42.46,Saravanan Raj,Male,41,Trichy,Tamil Nadu,Silver,2024-06-08,Men,Linen,Budget,2600,772
S000020,INV100007,C00890,P0161,2025-09-02,3,900,5,2565.0,Regular,Monsoon,Tuesday,9,2025,RAM-TOWE-0161,Ramraj Cotton Towels Orange XS,Accessories,Towels,Ramraj Cotton,Orange,XS,Cotton,All Season,Unisex,260,151,SUP011,Active,images/products/P0161.jpg,41.92,Saravanan Raj,Male,41,Trichy,Tamil Nadu,Silver,2024-06-08,Men,Linen,Budget,2600,772
S000021,INV100008,C00522,P0363,2024-07-13,3,700,10,1890.0,Aadi Sale,Monsoon,Saturday,7,2024,WES-BABY-0363,Westside Baby Dresses Pink 6-12 Years,Kids,Baby Dresses,Westside,Pink,6-12 Years,Cotton,All Season,Kids,330,221,SUP013,Active,images/products/P0363.jpg,33.03,Pavithra Prasad,Female,39,Trichy,Tamil Nadu,Bronze,2025-06-13,Women,Linen,Standard,128,402
S000022,INV100009,C01407,P0187,2025-07-05,3,1200,30,2520.0,Aadi Sale,Monsoon,Saturday,7,2025,RAM-TOWE-0187,Ramraj Cotton Towels Gold XL,Accessories,Towels,Ramraj Cotton,Gold,XL,Cotton,All Season,Unisex,140,94,SUP012,Active,images/products/P0187.jpg,32.86,Sowmya Reddy,Female,44,Kanchipuram,Tamil Nadu,Silver,2025-03-11,Women,Handloom,Standard,1747,496
S000023,INV100009,C01407,P0221,2025-07-05,3,1200,10,3240.0,Aadi Sale,Monsoon,Saturday,7,2025,NET-SOCK-0221,Netplay Socks RCB Red XXL,Accessories,Socks,Netplay,RCB Red,XXL,Cotton,"School Season, Winter",Unisex,220,168,SUP021,Active,images/products/P0221.jpg,23.64,Sowmya Reddy,Female,44,Kanchipuram,Tamil Nadu,Silver,2025-03-11,Women,Handloom,Standard,1747,496
S000024,INV100010,C01039,P0342,2024-11-03,3,900,30,1890.0,Diwali,Winter,Sunday,11,2024,PRI-SCHO-0342,Prisma School Uniforms Green S,Kids,School Uniforms,Prisma,Green,S,Polyester Blend,"School Season, Monsoon",Kids,670,385,SUP017,Active,images/products/P0342.jpg,42.54,Aishwarya Iyer,Female,46,Kanchipuram,Tamil Nadu,Silver,2023-10-14,Women,Handloom,Standard,1502,1010
S000025,INV100010,C01039,P0266,2024-11-03,2,1200,20,1920.0,Diwali,Winter,Sunday,11,2024,UAT-VESH-0266,Uathayam Veshti Pink Standard,Men,Veshti,Uathayam,Pink,Standard,Cotton,"Pongal, Temple Festival, Summer",Men,1800,1153,SUP016,Active,images/products/P0266.jpg,35.94,Aishwarya Iyer,Female,46,Kanchipuram,Tamil Nadu,Silver,2023-10-14,Women,Handloom,Standard,1502,1010
S000026,INV100010,C01039,P0233,2024-11-03,3,400,40,720.0,Diwali,Winter,Sunday,11,2024,BIB-FROC-0233,Biba Frocks Cream L,Women,Frocks,Biba,Cream,L,Cotton,"Christmas, New Year",Women,780,571,SUP008,Active,images/products/P0233.jpg,26.79,Aishwarya Iyer,Female,46,Kanchipuram,Tamil Nadu,Silver,2023-10-14,Women,Handloom,Standard,1502,1010
S000027,INV100011,C01261,P0208,2024-06-27,1,900,30,630.0,School Season,Monsoon,Thursday,6,2024,FAB-PUTT-0208,Fabindia Puttu Vasti White M,Women,Puttu Vasti,Fabindia,White,M,Silk,Wedding,Women,24080,17076,SUP008,Active,images/products/P0208.jpg,29.09,Harini Babu,Female,39,Kanchipuram,Tamil Nadu,Silver,2023-03-31,Women,Linen,Standard,2425,1207
S000028,INV100011,C01261,P0333,2024-06-27,2,1200,30,1680.0,School Season,Monsoon,Thursday,6,2024,FAB-CURT-0333,Fabindia Curtains Yellow Single,Home & Lifestyle,Curtains,Fabindia,Yellow,Single,Cotton,All Season,Unisex,2680,2090,SUP008,Active,images/products/P0333.jpg,22.01,Harini Babu,Female,39,Kanchipuram,Tamil Nadu,Silver,2023-03-31,Women,Linen,Standard,2425,1207
S000029,INV100011,C01261,P0013,2024-06-27,3,400,40,720.0,School Season,Monsoon,Thursday,6,2024,GUE-IPLJ-0013,Guess IPL Jerseys Black S,Accessories,IPL Jerseys,Guess,Black,S,Polyester,IPL Season,Unisex,2000,1379,SUP013,Active,images/products/P0013.jpg,31.05,Harini Babu,Female,39,Kanchipuram,Tamil Nadu,Silver,2023-03-31,Women,Linen,Standard,2425,1207
